Name	Set	Imagefile	Type	Colour	Rarity	Serial	Level	Cost	Power	Soul	Trigger	Traits	Flavour	Ability1	Ability2	Ability3
General Director Who Reports Directly To The Shogun Princess Hitei	SE07	KGSE07-01_R	CH	Y	R	KG/SE07-01	0	0	500	1	0	Fan, Kimono	.........	[C] SUPPORT All your Characters in front of this card gets +500 Power.	[S] [(1) Place the top card of your Deck to Clock] When this card is placed to Waiting Room from Stage, you may pay this cost. If you did, search your Deck for up to 1 <<Togame's Nemesis Princess Hitei>>, show it to your opponent, then place it to Hand. Shuffle your Deck afterwards.	
Ruthless Castle Lord Uneri Ginkaku	SE07	KGSE07-02_R	CH	Y	R	KG/SE07-02	1	0	2500	1	0	Weapon, Kimono	Ever since I gained this Zantou, you're the first one to have dodged my Zerosan...	[A] [Place the top card of your Deck to Clock] When you used this card's ASSIST, you may pay this cost. If you did, choose 1 of your Characters, during this turn, it gets +1500 Power.	[S] [COUNTER] ASSIST 1000 Level 1 [Place this card from Hand to Waiting Room] (Choose 1 Character being Front Attacked, during this turn, it gets +1000 Power)	
Japan's Strongest Soldier Sabi Hakuhei	SE07	KGSE07-03_R	CH	Y	R	KG/SE07-03	1	1	6500	1	0	Weapon, Kimono	I have come to retrieve it	[S] CONCENTRATION [(1)] Flip the top 4 cards of your Deck, place them into Waiting Room. For each Climax among those cards, during this turn, this card gets +1000 Power, +1 Soul.		
Masked Man Emonzaemon	SE07	KGSE07-04_R	CH	Y	R	KG/SE07-04	2	1	8000	1	1	Ninja, Mask		[A] [Place 1 card from Hand to Waiting Room] When this card attacks, you may pay this cost. If you did, during this turn, this card gets +3500 Power.		
Armored Pirate Captain Azekura Kanara	SE07	KGSE07-05_C	CH	Y	C	KG/SE07-05	0	0	2500	1	0	Weapon	If you surrender right after we start... Kyotouryuu, you might be able to get out of this arena without a scratch	[C] When you have no other Characters, this card gets +2000 Power.		
Hitei Hime's Right-Hand Man Emonzaemon	SE07	KGSE07-06_C	CH	Y	C	KG/SE07-06	0	0	2500	1	0	Ninja, Mask	Decline I don't want you to say that 	[C] During your turn, this card gets +1000 Power.		
Shinou Issou Kiguchi Zanki	SE07	KGSE07-07_C	CH	Y	C	KG/SE07-07	0	0	3000	1	0	Weapon, Shogi	The 12th master of Shinou Isshouryuu based out of Dewa, a village famous for famous Shogi players 	[C] This card cannot Side Attack.	[S] [REST this card] Choose 1 of your <Weapon> Characters, during this turn, it gets +1000 Power.	
Immortal Higaki Rinne	SE07	KGSE07-08_C	CH	Y	C	KG/SE07-08	0	0	3500	1	0	Hermit		[A] When your opponent Levels Up, place this card to Waiting Room.		
Togame's Nemesis Princess Hitei	SE07	KGSE07-09_C	CH	Y	C	KG/SE07-09	1	0	5000	1	0	Fan, Kimono	Thank you for the praise~	[A] [Place 1 <<Hitei Hime's Conspiracy>> from Hand to Waiting Room] When this card is placed from Stage into Waiting Room, you may pay this cost. If you do, choose 1 <<"Denying Power" Hitei Hime>> from your Waiting Room, place it into any slot in REST position.		
Sentouryuu Tsuruga Meisai	SE07	KGSE07-10_C	CH	Y	C	KG/SE07-10	1	0	5000	1	0	Weapon, Miko	Now, Kyotouryuu -- show me your stregnth	[C] During your turn, for each of your other <<Sentouryuu Tsuruga Meisai>>, this card gets +2000.		
Automaton Biyorigou	SE07	KGSE07-11_C	CH	Y	C	KG/SE07-11	1	0	5000	1	0	Doll, Weapon	Human Identified, Kill Immediately	[C] When this card has a Marker below it, this card gets +1000 Power.	[C] When this card has 2 or more Markers below it, this card cannot STAND during your Stand Phase.	[A] At the end of your turn, if this card has 1 or less Markers below it, place the top card from your Deck below this card as a Marker.
