Name	Set	ImageFile	Type	Colour	Rarity	Serial	Level	Cost	Power	Soul	Trigger	Traits	Flavour	Ability1	Ability2	Ability3
Leader of Prinny Eliminator Squad Fuuka	SE08	DGSE08-01_R	CH	Y	R	DG/SE08-01	1	1	1500	1	1	Prinny, Death	I'm not a prinny! I'm Kazamatsuri Fuuka!	[A] When you use the BACKUP on this card, if you have a <Prinny> Character, choose 1 of your battling Characters. That Character gains +1000 Power for the turn.	[S] [Counter] BACKUP 1500, Level 1 [(1) Discard this card card from hand to the Waiting Room]	
Thoughts of a Maiden Fuuka	SE08	DGSE08-02_R	CH	Y	R	DG/SE08-02	2	1	7500	1	1	Prinny, Death	I will not accept any dreams that don't have a happy end!!	[A] [Discard a card to the Waiting Room] When <<Prinny Wars>> is placed to your Climax Zone, if this card is in your Front Row, you may pay cost. If so, choose a Level 2 or lower Character opposite this card and return it to the Deck. Your opponent shuffles that Deck.	[A] ENCORE [Put the top card of your Deck in your Clock]	
Reaper Emizel	SE08	DGSE08-03_R	CH	Y	R	DG/SE08-03	2	2	8000	2	1	Demon, Death	As a reaper, shall I cut for your soul?	[C] If you have 4 or fewer cards in hand, this card gains +1000 Power.	[A] When the Battle Opponent of this card becomes turned to REVERSE, you may put it in the Stock.	
Kazamatsuri Fuuka	SE08	DGSE08-04_R	CH	Y	R	DG/SE08-04	3	2	10000	2	1	Prinny, Death	That's my dream! Getting closer to that happy ending!!	[C] If 5 or fewer cards in your Deck, this card has -1 Level when in hand.	[A] When placed from hand to the Stage, this card gains +3000 Power & +2 Soul for the turn.	[A] [(1)] When damage dealt from this card is Damage Cancelled, you may pay cost. If so, Opponent may not <<[A] ENCORE>> this card turn (including <<[A] ENCORE [(3)]>> from rules).
Onee-Sama Fuuka	SE08	DGSE08-05_C	CH	Y	C	DG/SE08-05	0	0	500	1	0	Prinny, Death	You did protect... As the Last Boss	[C] ASSIST All your Characters in front of this card gain +500 Power.	[A] When this card is placed from hand to the Stage, choose another <Clone> Character of yours. That Character gains +1 Level and +500 Power for the turn.	
Impertinent Kid Emizel	SE08	DGSE08-06_C	CH	Y	C	DG/SE08-06	0	0	500	1	0	Demon, Death	Call me Emizel-sama. Heir to the President Emizel-sama!!	[C] If there's a Climax card in your Opponent's Climax Zone, the Character opposite this card gets -1 Soul.		
Leader of Special Killing Operation Squad Emizel	SE08	DGSE08-07_C	CH	Y	C	DG/SE08-07	0	0	2000	1	0	Demon, Death	Shut up! I'm not weak!	[S] BRAINSTORM [(1)] Reveal the top 4 cards of your Deck and put them in the Waiting Room. Search your Deck for up to X <Death> Characters, reveal them, put them in your hand, shuffle your Deck, then discard X cards from your hand to the Waiting Room, where X = # of Climax cards revealed.		
Girl with a Prinny Cap Fuuka	SE08	DGSE08-08_C	CH	Y	C	DG/SE08-08	0	0	2500	1	0	Prinny, Death	Hehehe! I've been waiting!	[S] [REST 2 of your Characters] This card gains +1 Level and +1500 Power for the turn.		
Middle School Student Who Fell into Hell Fuuka	SE08	DGSE08-09_C	CH	Y	C	DG/SE08-09	1	0	5000	1	0	Prinny, Death	This is war! A war of freedom and youth to shatter nightmares and achieve a maiden-like dream!	[A] When this card is placed from hand to the Stage, you may return a Climax card from your Opponent's Waiting Room to the Deck. If so, your Opponent shuffles that Deck, and you choose 1 of your Characters. That Character gains +3000 Power for the turn.		
Netherworld President Junior Emizel	SE08	DGSE08-10_C	CH	Y	C	DG/SE08-10	1	1	3500	1	1	Demon, Death	I will use my own power and achieve greatness as a demon!	[C] All your other Characters gain +X power during your turn, where X = 500 times Level of that Character.	[A] [(2) Put this card in the Waiting Room] When <<Phoenix's Promise>> is placed to your Climax Zone, you may pay cost. If so, choose an << Reaper Emizel>> in your Waiting Room and put it in the Slot this card was in.	
