Name	Set	ImageFile	Type	Colour	Rarity	Serial	Level	Cost	Power	Soul	Trigger	Traits	Flavour	Ability1	Ability2	Ability3
Yukata Yosuke	S08	P4S08-001_RR	CH	Y	RR	P4/S08-001	0	0	2000	1	0	Junes, Kimono	... Lose? Did we, lose?	[A] When this card is set to REVERSE during battle with a Level 0 or lower Character, return that Character to your opponent's hand. Your opponent then chooses one card from his hand and sends it to his Waiting Room.		
Protagonist & Izanagi-Okami	S08	P4S08-002_RR	CH	Y	RR	P4/S08-002	1	1	4500	1	1	God	Izanagi: "Impossible... the will of 'one' has exceeded the total will of all humans!?"	[C] This card gains Power +X. X is equal to the Level of the Character directly in front X1000.	[A] When this card attacks, if the Climax card <Myriad Truths> is in the Climax Area, during this turn, the opponent is not allowed to activate any <<[A] ENCORE>> effect. (The effect of <<[A] ENCORE [(3)]>> is also cannot be used).	
Evidence of Family Dojima	S08	P4S08-003_R	CH	Y	R	P4/S08-003	0	0	500	1	0	Police	Your cup, as well as Nanako's cup, are always filled by me	[A] BOND/<<Loving Siblings Protagonist & Nanako>>[(1)] (When this card is played on the Stage, you may pay the cost to search for a <<Loving Siblings Protagonist & Nanako>> from the Waiting Room and add it to your hand.)	[S][Put this card to REST] Choose one of your other Characters. During this turn, it gains Level +1. 	
Power of WILD Protagonist	S08	P4S08-004_R	CH	Y	R	P4/S08-004	0	0	2000	1	0	Magic, Glasses	Teddie: "What cannot be done with just one person is definitely possible..."	[A] When this card is played from your hand to the Stage, choose one other Character. During this turn, it gets +1 Level.	[A] CHANGE [(2) Return this card to your hand] At the start of your Draw Phase, you may pay the cost. Search for one <<Protagonist & Izanagi-Okami>> and place it in this card's previous border.	
Daughter of Sake Dealer Konishi Saki	S08	P4S08-005_R	CH	Y	R	P4/S08-005	1	1	2500	1	1	Junes, Alchohol	She has few friends. Please be kind to each other	[C] All your other <Junes> Characters gain Power +1000.	[C] ALARM When this card is at the top of your Clock, All your <Junes> Characters gain Power +1000. 	
I Love Junes! Nanako	S08	P4S08-006_R	CH	Y	R	P4/S08-006	2	1	4000	1	1	Junes, TV	Eh? Are you going to buy it? Junes?	[C] ASSIST All Characters in front of this card have their Power increased by X. X is the Level of the card X500.	[A][(1)] When this card is played from your hand to the Stage, you may pay the cost to search for one <Junes> card in the Waiting Room and add it to your hand. 	
Loving Siblings Protagonist & Nanako	S08	P4S08-007_R	CH	Y	R	P4/S08-007	2	2	7000	2	1	Junes, TV	But Nanako isn't lonely... Because onii-chan is here	[A] When this card attacks, during this turn it gains Power +X. X is equal to the Level of the Character directly in front X1000.	[A] ENCORE [Send a Character Card from the hand to the Waiting Room] When this card is sent from the Stage to the Waiting Room, you may pay the cost to place it in REST on the slot it was occupying.	
Disappointing Prince Yosuke-chan	S08	P4S08-008_U	CH	Y	U	P4/S08-008	0	0	2500	1	0	Junes, Female Clothing	The heir of Junes is refreshing and good looking, but when he opens his mouth he lets people down!	[A] When this card is played from the hand to the Stage, you may send the top card of your Deck to the Waiting Room. If you do so, choose one other <Junes> Character you control and increase its Soul by amount on the Trigger Icon of the card sent to the Waiting Room. 		
Drama Club Ozawa Yumi	S08	P4S08-009_U	CH	Y	U	P4/S08-009	1	0	5000	1	0	Theatre	Taking that first step... was the reason we're here, right	[S][(1) Put 3 of your Characters into REST] Choose one of your other Characters and return it to your hand.		
Yukata Nanako	S08	P4S08-010_U	CH	Y	U	P4/S08-010	1	0	5500	1	0	Junes, Kimono	I've bought cotton candy!			
Leader Protagonist	S08	P4S08-011_U	CH	Y	U	P4/S08-011	2	2	8500	2	1	Magic	Margaret: "Stand up. I don't think you're one to fall here"	[A][(4) Put one Climax card from the Waiting Room to Memory] You can activate this effect up to once per turn. When this card attacks and <<Never More>> is in your Climax slot, you may pay the cost. If you do so, put this card to STAND.		
Shop Manager's Son Yosuke	S08	P4S08-012_U	CH	Y	U	P4/S08-012	3	2	10000	2	1	Junes, Magic	Welcome, welcome! The advertised item, top-grade salmon is now 59 yen a slice!	[A] When this card attacks, put the top three cards of your Deck onto your Waiting Room. Depending on the number of <June> cards, the following ability is activated: 	One: During this turn, this card gains +2000 attack. Two: Put the top of your Clock to the Waiting Room. Three: Put an opponent's Level 3 or lower Character to their Stock.	
