Name	Set	ImageFile	Type	Colour	Rarity	Serial	Level	Cost	Power	Soul	Trigger	Traits	Flavour	Ability1	Ability2	Ability3
Charles, Causing Commotion	W18	DC3W18-001	CH	Y	RR	DC3/W18-001	0	0	2000	1	0	Magic, Student Council	Ahahaha, Kitoyaka-kun, you look like you've had water splashed from top of your head~!	[A] When this becomes Reversed in battle, reveal the top card of your Library. If it's a ::Student Council:: Character, you may send this to Memory. (Put the revealed card back where it was)	Shift Level 0	
Ricca, Irreplaceable Magic	W18	DC3W18-002	CH	Y	RR	DC3/W18-002	3	2	9500	2	1	Magic, Student Council	Compared to Kiyotaka's liking towards me, my love for Kiyotaka is definitely stronger 	[C] For each other ::Student Council:: Character you have, this gains +500 Power.	[A] When this is placed from hand to the Stage, look at up to 3 cards from top of your Library and choose up to 1 of them and put it in your hand. Put the rest in the Waiting Room. 	
Ricca, Buoying Date	W18	DC3W18-003	CH	Y	R	DC3/W18-003	0	0	2000	1	0	Magic, Student Council	Hey, let's hold hands 	[A] When this is placed from hand to the Stage, reveal the top card of your Library. If it's a ::Magic:: Character put it in your hand and choose a card in your hand and put it in the Waiting Room. (Otherwise put the card back where it was) 		
Ricca, To the Future Seen in Dreams	W18	DC3W18-004	CH	Y	R	DC3/W18-004	1	0	5000	1	0	Magic, Student Council	You should have called for me when you got here 	[A] When "Flowers that Keep Blooming" is placed in your Climax Zone, if this is in the Front Row, reveal the top card of your Library. If it's a ::Student Council:: Character, choose 1 of your Opponent's Character and return it to the hand. (Put the revealed card back where it was) 		
Charles, Student Council President of Kazemidori	W18	DC3W18-005	CH	Y	R	DC3/W18-005	1	0	5000	1	0	Magic, Student Council	I'm happy as if I'm confused as what to do 	[C] If you have 3 or more other ::Student Council:: Characters, this gains +1000 Power. 		
"Santa's First Love" Charles	W18	DC3W18-006	CH	Y	R	DC3/W18-006	2	1	7500	1	1	Magic, Student Council	Here! This is what Kiyotaka-kun wished for 	[A] When "Magic of Happiness" is placed in your Climax Zone, if this is on the Front Row, choose 1 of your other Characters. That Character gains +6000 Power for the turn.	[A] When this is placed from the Waiting Room to the Stage, you may move this to a vacant Back Row Slot. 	
Master Ricca	W18	DC3W18-007	CH	Y	U	DC3/W18-007	0	0	500	1	0	Magic, Student Council	If there's nothing, I shall choose randomly, okay? 	[C] ASSIST All your Characters in front of this gain +500 Power.	[S] [(1) Put the top card of your Library in Clock, Rest this] Search your Library for up to 1 Character with "Student Council President" in the name, reveal it, and put it in your hand. Shuffle your Library. 	
Tomoe, Academy's Seasonal Greetings	W18	DC3W18-008	CH	Y	U	DC3/W18-008	0	0	2500	1	0	Magic, Student Council	Suginami, if you can hear this, you should accept it and give up 	[C] If you have 1 or fewer other Characters, this gains +1500 Power. 		
"Eto's Wish" Charles	W18	DC3W18-009	CH	Y	U	DC3/W18-009	1	1	6500	1	0	Magic, Student Council	Hey, if Eto can have one wish granted like in this fairy tail, what would you wish for? 	[C] You cannot play a Climax card from your hand during your Climax Phase.	[A] CHANGE [Discard a card from your hand to the Waiting Room, Send this to Memory] At the beginning of your Encore Step, if this is Rested, you may pay cost. If so, choose a '"Santa's First Love" Charles' in your Waiting Room and put it in the Slot this was in. 	
Ricca, Everyone's Power	W18	DC3W18-010	CH	Y	U	DC3/W18-010	2	2	8500	2	1	Magic, Student Council	Even if we can't do it individually, if we can gather lots of power, everyone can become happy. Isn't it so? 	[S] [Rest 1 of your ::Student Council:: Characters] This gains +1000 Power for the turn. 		
Charles, At Ease	W18	DC3W18-011	CH	Y	C	DC3/W18-011	0	0	2500	1	0	Magic, Student Council	Uh, uh, this, is rough, ah, ah-- 	[S] BRAINSTORM [(1)] Reveal the top card of your Library and put it in the Waiting Room. If it's a ::Student Council:: Character, this gains +2000 Power and +1 Soul for the turn. 		
Ian & Rurica, Clumsy People	W18	DC3W18-012	CH	Y	C	DC3/W18-012	0	0	2500	1	0	Magic, Maid	Ian: "No use talking to you! Rurica, let's go!" Rurica: "Ye~s, Ian-sama" 	[C] This gains +1000 Power during your turn. 		
Ricca, Seal to Exclude the Mist	W18	DC3W18-013	CH	Y	C	DC3/W18-013	1	0	1500	1	0	Magic, Student Council	........................ 	[S] [Counter] BACKUP 1500, Level 1 [Discard this card from hand to the Waiting Room] 		
Sakura, Innocent	W18	DC3W18-014	CH	Y	C	DC3/W18-014	1	0	4500	1	0	Magic	No, it's okay, let's play. If I go home, Kiyotaka wouldn't have anyone to play with! 	[A] ENCORE [Discard a Character card from hand to the Waiting Room]	[S] [(1)] This gains +1 Soul for the turn. 	
Charles, Heart-Thumping Bath Cleaning	W18	DC3W18-015	CH	Y	C	DC3/W18-015	2	1	8500	1	1	Magic, Student Council	Ye-s. Let me know when you're fished, and I'll rinse it down with hose- 			
Elizabeth, Academy President of Kazamidori	W18	DC3W18-016	CH	Y	C	DC3/W18-016	2	2	8500	2	1	Magic, Royalty	Yes. It's a secret, so don't tell anyone else, okay?	[C] If there are 3 or fewer cards in your Stock, this gains +1500 Power. 		
Category 5	W18	DC3W18-017	EV	Y	U	DC3/W18-017	2	1			0		Is that so... okay. This feels good... 	Search your Library for up to 1 ::Magic:: Character, reveal it, and put it in your hand. Shuffle your Library. Choose 1 of your Characters. That Character gains +2000 Power for the turn. 		
Present on Holy Night	W18	DC3W18-018	EV	Y	U	DC3/W18-018	2	2			0		Charles: "Um... Okay. Eto's wish... I shall grant anything. Because I'm Santa Claus... right: 	[Counter] Look at up to 7 cards from the top card of your Library and choose up to 2 Characters with either "Charles" in name or ::Toy::, reveal them, and put them in your hand. Put the rest in your Waiting Room. 		
Magic of Happiness	W18	DC3W18-019	CX	Y	CR	DC3/W18-019					2		Charles: "Goodbye, Eto..." 	[A] When this is placed from hand to the Climax Zone, draw a card, and choose 1 of your Characters. That Character gains +2000 Power and +1 Soul for the turn. 		
Flowers that Keep Blooming	W18	DC3W18-020	CX	Y	CC	DC3/W18-020					1W		Sakura: "This... do you know what this is?" Ricca: "Isn't it cherry blossom? I haven't seen this kind before though" 	[C] All your Characters gain +1000 Power and +1 Soul. 		
Sara, Special Smile	W18	DC3W18-021	CH	G	RR	DC3/W18-021	1	1	2000	1	1	Magic, Sports	Here. Please taste it thoroughly	[A] When you use the BACKUP of this, choose 1 of your Opponent's Battling Characters. That Character gains +1 Soul for the turn.	[S] [Counter] BACKUP 2500, Level 1 [(1) Discard this card from hand to the Waiting Room] 	
Himeno, Two's Happiness	W18	DC3W18-022	CH	G	RR	DC3/W18-022	3	2	10000	2	1	Magic, Yukata	Once you saw my face of happiness, you knew I was going to say yes 	[C] If there are 4 or more cards in your Opponent's Stock, this gains +1000 Power.	[A] When this is placed from hand to the Stage, you may put the top card of your Clock in your Waiting Room. 	
Sara, Relaxing Date	W18	DC3W18-023	CH	G	R	DC3/W18-023	0	0	2000	1	0	Magic, Sports	This is extremely cute~ 	[S] BRAINSTORM [(1) Rest this] Reveal the top 4 cards of your Library and put them in the Waiting Room. For each Climax card revealed this way, perform the following action: "Choose a card in your Clock and return it to your hand, and put the top card of your Library in your Clock." 		
"Magician of Justice" Himeno	W18	DC3W18-024	CH	G	R	DC3/W18-024	1	0	5000	1	0	Magic	This is - determination 	[A] [(3) Put this in Clock] When "Magic to Connect Hearts" is placed in your Climax Zone, you may pay cost. If so, choose up to 1 "Himeno, Feelings to Be Told" and up to 1 "Kiyotaka & Himeno, Mutual Understanding" in your Waiting Room and put them Rested in separate Slots on the Stage. 		
Sara, Commemoration of Two	W18	DC3W18-025	CH	G	R	DC3/W18-025	2	1	5000	1	1	Magic, Sports	Th, that's right, we're... lovers.... right 	[C] ASSIST All your Characters in front of this gain +X Power, where X = 500 times Level of that Character.	[A] When 'Proof of "Love"' is placed in your Climax Zone, all your Characters gain +1000 Power for the turn.	
Himeno, Brother-And-Sister-Only Gathering	W18	DC3W18-026	CH	G	U	DC3/W18-026	0	0	2000	1	0	Magic, Bento Box	How's this~ Is it delicious~? I hope the taste's good for nii-san~ 	[S] BRAINSTORM [(1)] Reveal the top card of your Library and put it in the Waiting Room. If it's a ::Magic:: Character, choose 1 of your Opponent's Front Row Character. That Character gets -2000 Power for the turn. 		
Mary & Edward, Childhood Friends	W18	DC3W18-027	CH	G	U	DC3/W18-027	0	0	2000	1	0	Magic, Detective	Mary: "Well, how should I put it, thank you for trusting us" Edward: "That's right" 	[A] [Clock] SHIFT Level 0	[S] [Rest this] Choose 1 of your ::Magic:: Characters. That Character gains +1000 Power for the turn. 	
Sara, Practicing	W18	DC3W18-028	CH	G	U	DC3/W18-028	0	0	2500	1	0	Magic, Sports	There!	[A] This ability may be activated up to twice per turn. When you place another ::Sports:: Character from hand to the Stage, this gains +1000 Power for the turn. 		
Himeno, Going Out with Nii-San	W18	DC3W18-029	CH	G	U	DC3/W18-029	1	1	6500	1	0	Magic, Yukata	Well, let's regather ourselves and head to the next store 	[A] ENCORE [Discard a Character card from hand to the Waiting Room] 		
Himeno, Feelings to Be Told	W18	DC3W18-030	CH	G	U	DC3/W18-030	2	1	9000	1	1	Magic	I love nii-san. Not just like a big brother, more than anyone in the world... 	[A] When you place another Cost 0 or lower Character from hand to the Stage, if this is Standing, Rest this. 		
Himeno, Smiles to Protect	W18	DC3W18-031	CH	G	C	DC3/W18-031	0	0	1000	1	0	Magic	Yes, it's warm...... 	[A] BOND/"Kiyotaka & Himeno, Mutual Understanding" [(1)] 		
Himeno, Pitiful Art Skills	W18	DC3W18-032	CH	G	C	DC3/W18-032	0	0	3000	1	0	Magic	Wh-wh-wh-wh-what is it!? Why is it me? 			
Sara, Flailing	W18	DC3W18-033	CH	G	C	DC3/W18-033	1	0	5000	1	0	Magic, Sports	Ahhhh! Ah, ah, ahhh~! 	[C] If there are Markers under this, this gains +1500 Power.	[S] [Rest this] If there's no Marker under this, put the top card of your Library under this as Marker. 	
Kousuke & Himeno, Interesting People	W18	DC3W18-034	CH	G	C	DC3/W18-034	1	0	5500	1	0	Magic, Doll	Kousuke: "...... you didn't need to tell them there's nothing that can be done" Himeno: "But it's the truth" 			
Kiyotaka & Himeno, Mutual Understanding	W18	DC3W18-035	CH	G	C	DC3/W18-035	2	1	3500	1	1	Magic, Student Council	Kiyotaka: "Let's go back, Himeno. Back to the beloved school that we live in" Himeno: "Yes!" 	[C] ASSIST All your Characters in front of this gain +1000 Power.	[A] At the beginning of your Attack Phase, you may choose 1 of your Rested Character with "Himeno" in the name (excluding "Kousuke & Himeno, Interesting People") and Stand it. 	
Sara, Always By the Side	W18	DC3W18-036	CH	G	C	DC3/W18-036	2	2	8500	2	1	Magic, Sports	What's wrong, Kiyotaka. You're having evil smiles 	[A] [Rest 2 of your Standing Characters] When this becomes Reversed in Battle, you may pay cost. If so, Rest this, and this doesn't Stand during your next Stand Phase. 		
For My Beloved Lover	W18	DC3W18-037	EV	G	U	DC3/W18-037	1	0			0		Kiyotaka: "I shall become a magician that will let the world know the name of Chrysalis in Sara-san's place" 	Choose 1 of your Characters and Stand it. Choose 1 of your ::Sports:: Characters. That Character gains +3000 Power for the turn. 		
Place of Heart	W18	DC3W18-038	EV	G	U	DC3/W18-038	1	0			0		Onii-chan is Himeno's Onii-chan 	Choose 1 of your Cost 0 or lower Characters with "Himeno" in your Clock and put it in any Slot on the Stage. Choose 1 of your Characters with "Himeno" in the name. That Character gains +3000 Power for the turn. Put this in Clock. (Both effect excludes "Kousuke & Himeno, Interesting People") 		
"Proof" of Love	W18	DC3W18-039	CX	G	CR	DC3/W18-039					2		Is it true? 	[A] When this is placed from hand to the Climax Zone, draw a card, and choose 1 of your Characters. That Character gains +2000 Power and +1 Soul for the turn. 		
Magic to Connect Hearts	W18	DC3W18-040	CX	G	CC	DC3/W18-040					G		I finally found you, nii-san! 	[C] All your Characters gain +1000 Power and +1 Soul. 		
Charles, On Top of Lap Pillow	W18	DC3W18-041	CH	R	RR	DC3/W18-041	0	0	500	1	0	Magic, Student Council	Ah, Kiyotaka-kun... Good morning 	[C] All your other ::Student Council:: Characters gain +500 Power.	[A] [(1)] When this is placed from the Stage to the Waiting Room, you may pay cost. If so, Send this to Memory. 	
Himeno, Overslept	W18	DC3W18-042	CH	R	RR	DC3/W18-042	0	0	2500	1	0	Newspaper, Pajama	Eh, ah, ah, ah... Ni- why is nii-san here!? 	[S] BRAINSTORM [(1) Rest this] Reveal the top 4 cards of your Library and put them in the Waiting Room. For each Climax card revealed this way, choose a ::Newspaper:: Character in your Waiting Room and return it to your hand. 		
Himeno, Feelings Inside	W18	DC3W18-043	CH	R	R	DC3/W18-043	0	0	500	1	0	Newspaper	Secret. It's a secret to nii-san 	[C] ASSIST All your Characters in front of this gain +500 Power.	[S] [Put the top card of your Library in your Clock, Rest 2 of your Characters] Choose a "Himeno, Bad-Tempered" in your Waiting Room and put it in any Slot on the Stage. 	
Ricca, Overspilling Feelings	W18	DC3W18-044	CH	R	R	DC3/W18-044	1	0	4500	1	0	Newspaper, Student Council	That's why you should hurry up and remember. The lovey-dovey memory with me~ 	[A] When this is placed from hand to the Stage, choose 1 of your other ::Newspaper:: Characters. That Character gains +2000 Power for the turn. 		
Himeno, Stiff	W18	DC3W18-045	CH	R	R	DC3/W18-045	1	1	1500	1	1	Magic, Sports	Hurry up and help me stretch or something! 	[C] ASSISST All your Characters in front of this gain "[A] When this is Reversed in battle, if you have fewer cards in your Stock than your Opponent, you may put this in Stock".	[A] When this is placed from hand to the Stage, look at the top card of your Library and put it either on top of the Library or in the Waiting Room. 	
Ricca, Official Newspaper Club President	W18	DC3W18-046	CH	R	R	DC3/W18-046	1	1	6000	1	0	Newspaper, Student Council	It's still a secret. Fun shall be had afterwards 	[A] Whenever your other ::Newspaper:: Character attacks, this gains +1000 Power for the turn.	[A] ENCORE [Discard a Character card from hand to the Waiting Room] 	
Ricca, Confession on Holy Night	W18	DC3W18-047	CH	R	R	DC3/W18-047	2	1	7500	1	1	Magic, Student Council	That's why please... be my lover. Don't say no 	[C] RECOLLECTION If there are 3 or more cards in your Memory, this gains +2000 Power. 		
Charles, Smiles to Protect	W18	DC3W18-048	CH	R	R	DC3/W18-048	3	2	10000	2	1	Magic, Student Council	Hey, Kiyotaka-kun. Is there anything you want? I shall give it to you, with my magic 	[A] When this is Front Attacked, look at the top card of your Library and put it either on top of the Library or in the Waiting Room.	[A] RECOLLECTION When the Battle Opponent of this is Reversed, if there are 3 or more cards in your Memory, you may put that Character on top of the Library. 	
Kiyotaka, Words to Be Told	W18	DC3W18-049	CH	R	U	DC3/W18-049	0	0	500	1	0	Magic, Student Council	I love Ricca-san too	[A] When this is placed from hand to the Stage, you may put the top 3 cards of your Library in your Waiting Room.	[A] BOND/"Ricca, Confession on Holy Night" [(1)] 	
Ricca, Feelings of "Love"	W18	DC3W18-050	CH	R	U	DC3/W18-050	0	0	1000	1	0	Newspaper, Student Council	Ehehe... 	[A] [(1) Send this to Memory] When this is Front Attacked, you may pay cost. If so, choose a "Ricca, Official Newspaper Club President" in your hand and put it the Slot this was in as Defending Character. 		
Charles, After the First Date	W18	DC3W18-051	CH	R	U	DC3/W18-051	1	0	4500	1	0	Magic, Student Council	Well, I'll give you a special massage 	[A] RECOLLECTION When this is placed from hand to the Stage, if there are 2 or more cards in your Memory, this gains "[A] When this becomes Reversed, if the Level of the Battle Opponent is equal to or lower than the Level of this, you may Reverse that Character" for the turn. 		
Charles, Irremovable Past	W18	DC3W18-052	CH	R	U	DC3/W18-052	1	0	5000	1	0	Magic, Student Council	Uh, I don't know if it will work smoothly, but onee-chan shall try to bring that toy 	[A] When this Attacks, if "Farewell Present" is in the Climax Zone, choose a "Charles, Irremovable Past" in your Waiting Room and return it to your hand. 		
Minatsu, Robot President	W18	DC3W18-053	CH	R	U	DC3/W18-053	1	1	6500	1	0	Mecha, Banana	Next time if you can bring some banana along, Minatsu would be happy. Also, please take care of Suginami 	[A] Whenever another Character of yours becomes Reversed in battle, this gains +1000 Power for the turn. 		
Ricca, Genius Pretty Magician Girl	W18	DC3W18-054	CH	R	U	DC3/W18-054	2	2	8500	2	1	Magic, Student Council	I came to help, Peter Pan~ 	[A] When this attacks, if "Cattleya of Pride" is in the Climax Zone, choose up to 1 card in your Opponent's Waiting Room and put it on top of the Library, and all your Characters gain +1000 Power for the turn. 		
Himeno, Bad-Tempered	W18	DC3W18-055	CH	R	C	DC3/W18-055	0	0	2000	1	0	Newspaper	... Is that all? 	[C] If you have 5 or more cards in hand, this gains +1000 Power.	[C] If you have 4 or fewer cards in hand, all your other ::Newspaper:: Characters gain +500 Power.  	
Ricca, Surprisingly Childlike	W18	DC3W18-056	CH	R	C	DC3/W18-056	0	0	2500	1	0	Newspaper, Student Council	It's to crush the Unofficial Newspaper Club! 	[A] When this attacks, if "Normal Newspaper Club" is in the Climax Zone, put the top 3 cards of your Library in the Waiting Room. If the cards put in the Waiting Room in this way are all ::Newspaper:: Characters, return a Character from your Waiting Room to the hand.  		
Charles, Light Pranks	W18	DC3W18-057	CH	R	C	DC3/W18-057	0	0	2500	1	0	Newspaper, Student Council	Be, because Taka-kun was sleeping so nicely, and it's cold in the winter, so 	[C] If you have 2 or more other ::Newspaper:: Characters, this gains +1000 Power.  		
Charles, Morning Accident	W18	DC3W18-058	CH	R	C	DC3/W18-058	0	0	3000	1	0	Newspaper, Student Council	K, key! If I don't lock this! 			
Yuzu & Yuuhi, Carefree Assistants	W18	DC3W18-059	CH	R	C	DC3/W18-059	1	0	5000	1	0	Detective, Simple Example	Yuzu: "You can come over and play anytime-" Yuuhi: "This time bring all the members of Newspaper Club too" 	[C] If there are 3 or fewer cards in your Stock, this gains +1500 Power.		
Ricca in Around-the-House Wear	W18	DC3W18-060	CH	R	C	DC3/W18-060	1	0	5500	1	0	Newspaper, Student Council	You are my destined person... since 100 years ago! 			
Himeno, Just Like Before	W18	DC3W18-061	CH	R	C	DC3/W18-061	2	1	2500	1	1	Newspaper	I, if I'm blushing then so are you! See! 	[S] [Counter] BACKUP 3000, Level 2 [(1) Discard this card from hand to the Waiting Room] 		
Himeno, Her First Uniform	W18	DC3W18-062	CH	R	C	DC3/W18-062	2	1	8000	1	1	Newspaper	How's it, nii-san. Does it fit me? 	[A] [(4)] When this attacks, if "Talking by the Seaside" is in the Climax Zone, you may pay cost. If so, deal 5 Damage to your Opponent. (Damage Cancel may occur)  		
Charles in Gymnastics Clothes	W18	DC3W18-063	CH	R	C	DC3/W18-063	2	2	8500	2	1	Newspaper, Student Council	Ah, no, Taka-kun. I'm still recharging 	[C] If there are 4 or fewer cards in your Stock, this gains "[A] ENCORE [Discard a Character card from hand to the Waiting Room]".  		
Mikoto, Club Member Number One	W18	DC3W18-064	CH	R	C	DC3/W18-064	2	2	9000	2	1	Newspaper, Love	How's this? Kitoyaka Yoshino! Suginami-sama always judge me fairly! Aren't you jealous! 			
Nice to Meet You, Lulu-nee.	W18	DC3W18-065	EV	R	U	DC3/W18-065	1	1			0		When it was said, I thought to myself that I would never forget the smile of happiness beaming from the girl in front of me. 	Choose a Level 2 or higher Character in your Waiting Room and return it to your hand. Send this to Memory.  		
New Year's Kiss	W18	DC3W18-066	EV	R	U	DC3/W18-066	2	1			0		Well, well... let's... kiss... again?	Choose a ::Student Council:: Character in your Waiting Room and return it to your hand. Choose a "New Year's Kiss" in your Waiting Room and Send it to Memory. Send this to Memory. 		
Cattleya of Pride	W18	DC3W18-067	CX	R	CR	DC3/W18-067					D		Jill: "Thank you, Ricca... You did so much for all of us. I'm really happy" 	[C] All your Characters gain +1000 Power and +1 Soul. 		
Farewell Present	W18	DC3W18-068	CX	R	CC	DC3/W18-068					2		...... It failed... My magic 	[C] All your Characters gain +2 Soul.		
Talking by the Seaside	W18	DC3W18-069	CX	R	CC	DC3/W18-069					2		Yeah. I can feel nii-san's touch 	[A] When this is placed from hand to the Climax Zone, put the top card of your Library in your Stock, and all your Characters gain +1 Soul for the turn. 		
Normal Newspaper Club	W18	DC3W18-070	CX	R	CC	DC3/W18-070					2		Ricca: "Don't say it's a setting! It's true! We did so much while traveling around the world" 	[A] When this is placed from hand to the Climax Zone, draw a card, and choose 1 of your Characters. That Character gains +2000 Power and +1 Soul for the turn. 		
Aoi, Flowers Is Busy!	W18	DC3W18-071	CH	B	RR	DC3/W18-071	1	0	2590	1	0	Newspaper, Waitress	Eh? Kiyotaka-san? What are you doing? 	[C] ASSIST All your Characters in front of this gain "[A] ENCORE [Discard a Character card from hand to the Waiting Room]".	[S] [(2) Rest this] Return all cards in your Waiting Room to the Library. Shuffle your Library. 	
Aoi, A Future We Are Heading Towards	W18	DC3W18-072	CH	B	RR	DC3/W18-072	3	2	10000	2	1	Magic, Waitress	I love you! Of course, from now on too! 	[A] When this is placed from hand to the Stage or via CHANGE to the Stage, draw up to 2 cards, and discard a card from hand to the Waiting Room.	[A] [(1) Choose a "Magical Mist" in your Memory and put it in the Waiting Room] When this attacks, you may pay cost. If so, put the top card of your Clock in your Waiting Room.	[A] When you Refresh your Library, if there's no "Magical Mist" in your Memory, put this in the Waiting Room. 
Sakura, Important things	W18	DC3W18-073	CH	B	R	DC3/W18-073	0	0	2500	1	0	Magic	If you wish from your heart, the future - the world shall change 	[A] [(1)] When this attacks, if "Proof of Friendship" is in the Climax Zone, you may pay cost. If so, look at up to 5 cards from top of your Library and search for up to 1 ::Magic:: Character, reveal it, and put it in your hand. Put the rest in your Waiting Room. 		
Sara, Enjoyable Off-Day	W18	DC3W18-074	CH	B	R	DC3/W18-074	0	0	2500	1	0	Newspaper, Sports	Li, like this? 	[A] At the beginning of your Opponent's Attack Phase, reveal the top card of your Library. If it's a ::Sports:: Character, this gains +1500 Power and "[A] ENCORE [Discard a Character card from hand to the Waiting Room]" for the turn. (Put the revealed card back where it was) 		
Aoi, Midnight Date	W18	DC3W18-075	CH	B	R	DC3/W18-075	0	0	2500	1	0	Newspaper, Waitress	Wow, so this is what it feels like riding the boat that supplies Kazemidori! This is great! 	[A] When this is placed from hand to the Stage, look at the top card of your Library and put it either on top or bottom of the Library.	[A] When this attacks, choose a Character in your Waiting Room and put it on bottom of the Library. 	
Aoi, Pampered Mode	W18	DC3W18-076	CH	B	R	DC3/W18-076	2	1	3000	1	1	Newspaper, Waitress	Is, is that so. Okay. If that's so, it's okay 	[C] All your other Characters with either ::Maide:: and/or ::Waitress: gain +1000 Power.	[A] When "Lots of Dreams" is placed in your Climax Zone, put the top 2 cards of your Library in your Waiting Room. If a Climax card was put in the Waiting Room this way, put the top card of your Clock in your Waiting Room. 	
