Name	Set	ImageFile	Type	Colour	Rarity	Serial	Level	Cost	Power	Soul	Trigger	Traits	Flavour	Ability1	Ability2	Ability3
Theatrical Club President Nagisa	WE01	CLWE01-01_R	CH	Y	R	CL/WE01-01	2	2	8000	2	1	Theater, Dango		[C] If you have a <<Okazaki Tomoya >> in play, this card gains Power +1000.	[A] When this card attacks and the Climax card <<Do You Like This Academy...? >>is in play, search your Deck for a <Twins> or <Book> Character, show it to your opponent and add it into your hand. Shuffle your Deck.	
Okazaki Tomoya	WE01	CLWE01-02_R	CH	Y	R	CL/WE01-02	2	1	5500	1	1	Delinquent, Sport		[A] At the beginning of your opponent's Attack Phase, you may choose one of your Characters, put it and this card to STAND mode and switch their positions.		
Girl Who Stands Still Nagisa	WE01	CLWE01-03_R	CH	Y	R	CL/WE01-03	1	1	4000	1	1	Theater, Dango		[A] When this card is placed from hand to the Stage, if you control 4 or more other cards with names that contain <<Furukawa >>, all your Characters gain Soul +2 for that turn.		
Furukawa Nagisa	WE01	CLWE01-04_C	CH	Y	C	CL/WE01-04	0	0	500	1	0	Theater, Dango		[C] All other <<Okazaki Tomoya >> gain Power +1000.	[A] BOND/<<Okazaki Tomoya >> [(1)] (When you play this card onto the Stage, you may pay the cost. If you do so, choose 1 <<Okazaki Tomoya >> from your Waiting Room and put it back in your hand.	
Meddlesome Nagisa	WE01	CLWE01-05_C	CH	Y	C	CL/WE01-05	0	0	2500	1	0	Theater, Dango		[C] During your turn, this card gains Power +1000.		
Sunohara Youhei	WE01	CLWE01-06_C	CH	Y	C	CL/WE01-06	0	0	2000	1	0	Delinquent, Sport		[S] [Put this card to REST mode] Choose 2 Characters. They gain <<Sports>> for this turn.	[S] [Place this card into the Waiting Room] Choose 1 of your cards whose name contains <<Tomoyo >>. It gains Power +2500 for this turn.	
Do You Like This Academy......?	WE01	CLWE01-07_C	CX	Y	C	CL/WE01-07					2			[C] All your Characters gain Soul +2.		
Legendary Starfish User Fuuko	WE01	CLWE01-08_R	CH	G	R	CL/WE01-08	1	0	1000	1	0	Starfish		[A] When you use this card's BACKUP ability, all Characters in battle gain the following ability for this turn. <<[A] When this card is put from the Stage into the Waiting Room, place this card back onto its previous Border in REST mode.>>	[S][COUNTER] BACKUP 0 Level 1 [Place this card from hand into the Waiting Room] Choose 1 Character that is being Front Attacked. It gains Power +0 for this turn.	
Familial Tomoyo	WE01	CLWE01-09_R	CH	G	R	CL/WE01-09	1	0	3500	1	0	Student Council, Sport		[A] When this card is placed from hand to the Stage, you may choose 1 of your Level 1 or below Back Row Characters and put it to STAND mode.		
Athletic Tomoyo	WE01	CLWE01-10_C	CH	G	C	CL/WE01-10	3	2	10000	2	1	Student Council, Sport		[A][(5)] When this card is placed from hand to the Stage, you may pay the cost. If you do so, place an opponent's Front Row Level 3 or below <Sports> or <Delinquent> card into the Clock.	[A] When this card is placed from hand to the Stage, you may place the top 1 card of your Clock into the Waiting Room.	
