Name	Set	ImageFile	Type	Colour	Rarity	Serial	Level	Cost	Power	Soul	Trigger	Traits	Flavour	Ability1	Ability2	Ability3
Proxy Master Irisviel	S17	FZS17-101_TD	CH	Y	TD	FZ/S17-101	1	0	6500	1	0	Homunculus, Alchemy	Saber, attain the Holy Grail. For yourself, and for your Master's sake.	[C] The Character opposite this card gains Soul +1.		
Dark Suit Saber	S17	FZS17-102_TD	CH	Y	TD	FZ/S17-102	2	1	8000	1	1	Servant, Royalty	She will survive for sure. I will protect her to the very last moment	[S] [Put 2 of your Characters to REST] This card gains Power +2000 for that turn.		
Strongest Class Saber	S17	FZS17-103_TD	CH	Y	TD	FZ/S17-103	3	2	10000	2	1	Servant, Royalty		[C] This card gains Power +1000 during your Turn.	[A] When this card is put from Hand to the Stage, you may put the top 1 card of your Clock to the Waiting Room.	
Hill of Camlann	S17	FZS17-104_TD	CX	Y	TD	FZ/S17-104					2		… I'm… sorry…	[C] All of your Characters gain +2 Soul.		
"Inferior Blood" Magus Waver	S17	FZS17-105_TD	CH	G	TD	FZ/S17-105	0	0	1000	1	0	Master, Alchemy	This is a true test of talent. It's a more fitting stage for someone like me.	[C] SUPPORT All your Characters in front of this card gains +500 Power		
Sword Wielding Heroic Spirit Saber	S17	FZS17-P01_PR	CH	Y	PR	FZ/S17-P01	0	0	2500	1	0	Servant, Weapon		[C] During your turn, this card gains +1000 Power		
Main Golden Sheath Saber	S17	FZS17-P03_PR	CH	Y	PR	FZ/S17-P03	0	0	2500	1	0	Servant, Royalty	At the end of the endless battles, she will attain the Holy Grail.	[A] When this card is played to Stage from your hand, choose 1 other <Master> or <Homonculus> Character, during this turn, it gains +1000 Power.		
Female Heroic Spirit Saber	S17	FZS17-T01_TD	CH	Y	TD	FZ/S17-T01	0	0	2500	1	0	Servant, Royalty		[A] This ability can be activated twice per turn. When your other <Master> or <Homonculus> Characters are placed on Stage from hand, this card gains +1000 Power		
Irisviel von Einzbern	S17	FZS17-T02_TD	CH	Y	TD	FZ/S17-T02	0	0	2500	1	0	Homunculus, Alchemy	… I understand. Saber, grant me victory.	[A] [(2)] When your Yellow Climax is put in the Climax Border, you may pay the cost. If you do so, put the top card of your Clock to the Waiting Room.		
Hisau Maiya	S17	FZS17-T03_TD	CH	Y	TD	FZ/S17-T03	1	0	5000	1	0	Weapon	…Right now please focus on the situation at hand. Regarding unnecessary things, do not think about them	[C] If your hand has 4 cards or less, this card gains +1000 Power		
