Name	Set	Imagefile	Type	Colour	Rarity	Serial	Level	Cost	Power	Soul	Trigger	Trait	Flavour	Ability1	Ability2	Ability3
Easily Embarassed Sengoku Nadeko	S15	BMS15-001_RR	CH	Y	RR	BM/S15-001	2	1	6500	1	1	Oddity	Shinobu?	[A] When this card attacks, if <<A Girl Cursed>> is in the Climax Zone, search your Deck for up to 1 <Oddity> Character, reveal it, and put it in your hand. Shuffle your Deck.	[A] EXPERIENCE [(1)] When this card is placed from hand to the Stage, if the sum of Levels of cards in your Level Zone is 4 or higher, you may pay cost. If so, search your Deck for up to 1 <<A Girl Cursed>>, reveal it, and put it in your hand. Shuffle your Deck.	
Easily Embarassed Sengoku Nadeko SR	S15	BMS15-001S_SR	CH	Y	SR	BM/S15-001	2	1	6500	1	1	Oddity	Shinobu?	[A] When this card attacks, if <<A Girl Cursed>> is in the Climax Zone, search your Deck for up to 1 <Oddity> Character, reveal it, and put it in your hand. Shuffle your Deck.	[A] EXPERIENCE [(1)] When this card is placed from hand to the Stage, if the sum of Levels of cards in your Level Zone is 4 or higher, you may pay cost. If so, search your Deck for up to 1 <<A Girl Cursed>>, reveal it, and put it in your hand. Shuffle your Deck.	
Hachikuji Mayoi	S15	BMS15-002_RR	CH	Y	RR	BM/S15-002	3	2	10000	2	1	Oddity, Spirit	If you found it, please tell me	[A] When this card is placed from hand to the Stage, choose up to 2 other of your Characters. Those Characters gain +1000 Power and +1 Soul for the turn.	[A] EXPERIENCE [(1)] When this card attacks, if the sum of Levels of cards in your Level Zone is 4 or higher, choose 1 of your Characters. That Character gains +1 Soul for the turn.	
Mother's Day Araragi Koyomi	S15	BMS15-003_R	CH	Y	R	BM/S15-003	0	0	1000	1	0	Oddity, Blood	I'll follow you-- confused?	[C] All your other Characters gain +500 Power during your turn.	[A] When this card or another <Oddity> Character is placed from hand to the Stage, you may look at the top of your Deck. (Put it back where it was)	
Girl Who Keeps Wandering Hachikuji Mayoi	S15	BMS15-004_R	CH	Y	R	BM/S15-004	0	0	1000	1	0	Oddity, Spirit		[C] If you have another <Blood> Character, this card gains +2000 Power.	[S] BRAINSTORM [(1) REST 2 of your Characters] Reveal the top 4 cards of your Deck and put them in the Waiting Room. For each Climax card revealed this way, search your Deck for up to 1 <Oddity> Character, reveal it, and put it in your hand. Shuffle your Deck.	
Girl Who Keeps Wandering Hachikuji Mayoi SR	S15	BMS15-004S_SR	CH	Y	SR	BM/S15-004	0	0	1000	1	0	Oddity, Spirit		[C] If you have another <Blood> Character, this card gains +2000 Power.	[S] BRAINSTORM [(1) REST 2 of your Characters] Reveal the top 4 cards of your Deck and put them in the Waiting Room. For each Climax card revealed this way, search your Deck for up to 1 <Oddity> Character, reveal it, and put it in your hand. Shuffle your Deck.	
Lost Cow Hachikuji Mayoi	S15	BMS15-005_R	CH	Y	R	BM/S15-005	0	0	4000	1	0	Oddity, Spirit		[A] When this card is placed from hand to the Stage, reveal the top card of your Deck. If it's a Climax card, return this card to the Deck, then shuffle your Deck. (Otherwise put the revealed card back where it was)		
Lost Cow Hachikuji Mayoi RRR	S15	BMS15-005R_RRR	CH	Y	RRR	BM/S15-005	0	0	4000	1	0	Oddity, Spirit		[A] When this card is placed from hand to the Stage, reveal the top card of your Deck. If it's a Climax card, return this card to the Deck, then shuffle your Deck. (Otherwise put the revealed card back where it was)		
Lost Snail Girl Hachikuji Mayoi	S15	BMS15-006_R	CH	Y	R	BM/S15-006	1	1	5500	1	1	Oddity, Spirit		[C] EXPERIENCE If the sum of Levels of cards in your Level Zone is 2 or higher, this card gains +500 Power and <<[A] ENCORE [Discard a Character card from hand to the Waiting Room]>>.		
Lost Snail Girl Hachikuji Mayoi SP	S15	BMS15-006SP_SP	CH	Y	SP	BM/S15-006	1	1	5500	1	1	Oddity, Spirit		[C] EXPERIENCE If the sum of Levels of cards in your Level Zone is 2 or higher, this card gains +500 Power and <<[A] ENCORE [Discard a Character card from hand to the Waiting Room]>>.		
Vampire Oshino Shinobu	S15	BMS15-007_R	CH	Y	R	BM/S15-007	2	2	8000	2	1	Oddity, Blood		[C] This card gains +1000 Power during your turn.	[C] Your Opponent may not use BACKUP from hand during battles involving this card.	
Maniac Girl Sengoku Nadeko	S15	BMS15-008_U	CH	Y	U	BM/S15-008	0	0	2500	1	0	Oddity	Hmm... there are sudden movements. Nya~n	[A] [Put the top card of your Deck in your Clock] When this card is placed from the Stage to the Waiting Room, you may pay cost. If so, choose a card in your Level Zone and a card in your Waiting Room. Swap them. 		
End of A Vampire Oshino Shinobu	S15	BMS15-009_U	CH	Y	U	BM/S15-009	0	0	2500	1	0	Oddity, Blood	End of a vampire is just a pretty ghost's remains. There's nothing that can be done, no?	[A] ENCORE [Discard a Character card from hand to the Waiting Room]		
Shy Girl Sengoku Nadeko	S15	BMS15-010_U	CH	Y	U	BM/S15-010	1	0	2000	1	0	Oddity		[A] When you use the BACKUP on this card, choose 1 of your battling YELLOW Characters. That Character gains +1000 Power for the turn.	[S] [Counter] BACKUP 1000, Level 1 [Discard this card from hand to the Waiting Room]	
Looking Down at Koyomi Hachikuji Mayoi	S15	BMS15-011_U	CH	Y	U	BM/S15-011	1	0	4500	1	0	Oddity, Spirit	Koyomi... sounds like a girl's name	[A] CHANGE [(3) Put this card in the Waiting Room] At the beginning of your Encore Step, if this card is in REST, you may pay cost. If so, choose a <<Floating Spirit Hachikuji Mayoi>> in your Waiting Room and put it in the Slot this card was in.		
Floating Spirit Hachikuji Mayoi	S15	BMS15-012_U	CH	Y	U	BM/S15-012	2	2	8500	2	1	Oddity, Spirit		[A] [(2)] When this card attacks, if <<Mayoi All the Time>> is in the Climax Zone, you may pay cost. If so, all your Characters gain <<[A] This card ability may be primed up to once per turn. When damage dealt by this card is Damage Cancelled, you may deal 1 damage to the Opponent>> for the turn.		
Didn't Mean to Hachikuji Mayoi	S15	BMS15-013_C	CH	Y	C	BM/S15-013	0	0	500	1	0	Oddity, Spirit	Sorry. I did bite you	[C] ASSIST All your Characters in front of this card gain +500 Power.	[S] [(2)] Choose 1 of your Opponent's Level 0 or lower Character and return it to the hand.	
Human-Like Vampire Oshino Shinobu	S15	BMS15-014_C	CH	Y	C	BM/S15-014	0	0	500	1	0	Oddity, Blood		[A] BOND/<<Vampire-Like Human Araragi Koyomi>> [(1)]	[S] [(1)] Choose 1 of your <Oddity> Characters. That Character gains +500 Power for the turn.	
One-Way Crush Sengoku Nadeko	S15	BMS15-015_C	CH	Y	C	BM/S15-015	0	0	3000	1	0	Oddity				
Vampire-Like Human Araragi Koyomi	S15	BMS15-016_C	CH	Y	C	BM/S15-016	1	0	4000	1	0	Oddity, Blood		[C] If you have another Character with <<Shinobu>> in the name, this card gains +1500 Power.	[A] ENCORE [Discard a Character card from hand to the Waiting Room]	
Oshino Shinobu	S15	BMS15-017_C	CH	Y	C	BM/S15-017	1	0	5000	1	0	Oddity, Blood		[A] [Put a Character from your Stage to the Waiting Room] When this card attacks, if <<Means to Remain Existing>> is in the Climax Zone, you may pay cost. If so, this card gains +4000 Power and +1 Soul for the turn.		
Donuts Lover Oshino Shinobu	S15	BMS15-018_C	CH	Y	C	BM/S15-018	1	1	7000	1	0	Oddity, Blood				
Hungry Hachikuji Mayoi	S15	BMS15-019_C	CH	Y	C	BM/S15-019	2	1	7500	1	1	Oddity, Spirit	Anyway, Araragi-san, I'm hungry	[A] [(1)] When this card is placed from hand to the Stage, you may pay cost. If so, choose 1 of your Characters. That Character gains +1 Soul for the turn.		
Claims to be 500 Years Old Oshino Shinobu	S15	BMS15-020_C	CH	Y	C	BM/S15-020	2	1	8000	1	1	Oddity, Blood	Those that used Hanekawa's stress have been destroyed by Shinobu's energy drain	[C] If there are 5 or more cards in your Stock, this card gains +1000 Power.		
Actually Fighting	S15	BMS15-021_U	EV	Y	U	BM/S15-021	2	0			0		A male high school student appears to be worried about his life after having punched an elementary school-aged girl twice to knock her unconscious	All your Characters gain +1 Soul for the turn.		
