Name	Set	ImageFile	Type	Colour	Rarity	Serial	Level	Cost	Power	Soul	Trigger	Trait	Flavour	Ability1	Ability2	Ability3
First Battle Shinji	S12	EVS12-001_RR	CH	Y	RR	EV/S12-001	1	1	6000	1	0	Pilot	I'll do it. I'll pilot it	[A] When this card attacks and <<Unit 01's First Battle>> is in your Climax area, this card gains +2 Soul for that turn.	[A] ENCORE [Put one Character card from you hand to the Waiting Room] (When this card is sent to the Waiting Room from your Stage, you may pay the cost. If you do so, put this card back to the border it was in REST.)	
Eva Unit 01 (Suspect Evolution First Awakened State)	S12	EVS12-002_RR	CH	Y	RR	EV/S12-002	3	2	9500	2	1	Mecha, Awakening		[C] EXPERIENCE If the total level of the cards in your Level area is 4 or more, this card gains +1500 Power and the following ability. <<[C]This card cannot be selected as a target by your opponent's card effects.>>	[A] When this card is played from the hand to the Stage or to the Stage through CHANGE, draw up to 2 cards from your Deck and put 1 card from your hand into the Waiting Room.	
Lunchbox Role Shinji	S12	EVS12-003_R	CH	Y	R	EV/S12-003	0	0	1000	1	0	Pilot, Lunchbox	Sorry, Ayanami. It didn't fit your taste?	[C] All your other Character with <<Asuka>> or <<Ayanami>> in the name gains +500 Power.	[S] [Put this card to REST] Choose one of your Characters with <<Asuka>> or <<Ayanami>> in the name, that Character gains +500 Power and <Lunchbox> for that turn.	
Shinji Before the Battle	S12	EVS12-004_R	CH	Y	R	EV/S12-004	0	0	2500	1	0	Pilot	We might die from this	[A] When this card is played onto the Stage from your hand, this card gains +1500 Power for that turn.		
Katsuragi Misato	S12	EVS12-005_R	CH	Y	R	EV/S12-005	1	0	4500	1	0	Animal	I want to become the cupid that brings Commander Ikari and Shinji-chan together	[C] EXPERIENCE If the total level of the cards in your Level area is 1 or more during your turn, this card gains +1500 Power.	[S] [Put one of your <Pilot> Characters to REST] This card gains +1000 Power for that turn.	
Kaworu of the Moon Surface	S12	EVS12-006_R	CH	Y	R	EV/S12-006	1	1	4500	1	1	Mystery	I would enjoy it when we meet, Shinji Ikari	[C] All your other <Pilot> Characters gain +500 Power.	[S] [Put this card to REST] Choose one of your Characters with <<Shinji>> in the name, that Character gains +1000 Power for that turn.	
Entrusting the Future Misato	S12	EVS12-007_R	CH	Y	R	EV/S12-007	2	1	7500	1	1	Animal	If Third Impact occurs now, the humanity will become extinct	[C] EXPERIENCE If the total level of the cards in your Level area is 3 or more, this card gains +1 Soul.	[A] [(1)] When <<The Entrusted Future>> is placed in your Climax area and this card is in the Front Row, reveal the top card of your Deck. If that is a Level 2 or below Character you may pay the cost. If you do so place that Character in any border on your Stage. (If not return the card to its original.)	
Pen Pen	S12	EVS12-008_U	CH	Y	U	EV/S12-008	0	0	500	1	0	Animal	Misato: "The name is PenPen"	[A] Bond / <<Katsuragi Misato>> [(1)] (When this card is played onto the Stage, you may pay the cost. If you do so, choose one <<Katsuragi Misato>> in your Waiting Room and return it to your hand.)	[S] [Put this card to REST] Choose one of your Characters with <<Misato>> in the name, that Character gains +500 Power for that turn.	
Nagisa Kaworu	S12	EVS12-009_U	CH	Y	U	EV/S12-009	0	0	1500	1	0	Mystery	Nice to meet you, father	[C] All of your other <Mystery> Characters gain +500 Power.	[S] [(1) Put this card to REST] Choose one of your <Mystery> Characters, that Character gains +1 Soul for that turn.	
Lifestyle Misato	S12	EVS12-010_U	CH	Y	U	EV/S12-010	0	0	2500	1	0	Animal	Bath, the laundry for life	[A] When this card attacks, reveal the top card of your deck. If that card is a <Animal> or <Pilot>, this card gains +1500 Power for that turn.		
